site, name, version, menu_path, tags, exec_type, module_name, singularityimagepath
CVl@Wiener,Relion,, Applications/Characterisation Virtual Laboratory/CryoEM, CryoEM|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/relion_3.0.7.simg
CVl@Wiener,MrTrix,, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools, Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/mrtrix.simg
CVl@Wiener,Freesurfer,, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools, Neuroimaging|Characterisation Virtual Laboratory|Applications, module, freesurfer, 
CVl@Wiener,Ilastik,, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/ilastik.simg
CVl@Wiener,Matlab 2019b,, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, module, matlab, 
CVl@Wiener,Fiji,, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/fiji.simg
CVl@Wiener,Cytoscape,, Applications/Characterisation Virtual Laboratory/Bioinformatics, Bioinformatics|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/cytoscape.simg
CVl@Wiener,Matlab 2018b,, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, module, matlab, 
CVl@Wiener,Firefox,, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/firefox.simg
CVl@Wiener,LiberTEM,, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/libertem.simg
CVl@Wiener,Jupyter notebook,, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/jupyter.simg
CVl@Wiener,BIDScoin,, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools, Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/bidscoin.simg
CVl@Wiener,IMOD,, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/imod_v4_9_9.simg
CVl@Wiener,SPINS,, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/spins.simg
CVl@Wiener,IMOD,4.11.4, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/imod_4.11.4.simg
