site, name, version, menu_path, tags, exec_type, module_name, singularityimagepath
CVl@Qld,Relion,, Applications/CVL CryoEM, CVL CryoEM|Applications, singularity, , /sw7/CVL/containers/relion_3.0.7.simg
CVl@Qld,Ilastik,, Applications/CVL Miscellaneous, CVL Miscellaneous|Applications, singularity, , /sw7/CVL/containers/ilastik.simg
CVl@Qld,mrtrix3,3.0.0, Applications/CVL Neuroimaging, CVL mrtrix3|CVL Neuroimaging|Applications, singularity, , 
CVl@Qld,Rstudio with R,3.4.4, Applications/CVL Miscellaneous, CVL Miscellaneous|Applications, singularity, , /sw7/CVL/containers/rstudio_R-3.4.4.simg
CVl@Qld,Fiji,, Applications/CVL Microscopy, CVL Microscopy|Applications, singularity, , /sw7/CVL/containers/fiji.simg
CVl@Qld,Cytoscape,, Applications/CVL Bioinformatics, CVL Bioinformatics|Applications, singularity, , /sw7/CVL/containers/cytoscape.simg
CVl@Qld,Firefox,, Applications/CVL Miscellaneous, CVL Miscellaneous|Applications, singularity, , /sw7/CVL/containers/firefox.simg
CVl@Qld,fsl,6.0.2, Applications/CVL Neuroimaging, CVL FSL|CVL Neuroimaging|Applications, singularity, , 
CVl@Qld,Jupyter notebook,, Applications/CVL Miscellaneous, CVL Miscellaneous|Applications, singularity, , /sw7/CVL/containers/jupyter.simg
CVl@Qld,itksnap,3.8.0, Applications/CVL Neuroimaging, CVL itksnap|CVL Neuroimaging|Applications, singularity, , 
CVl@Qld,freesurfer,7.1.0, Applications/CVL Neuroimaging, CVL freesurfer|CVL Neuroimaging|Applications, singularity, , 
CVl@Qld,BIDScoin,, Applications/CVL Neuroimaging, CVL Neuroimaging|Applications, singularity, , /sw7/CVL/containers/bidscoin.simg
CVl@Qld,afni,20.1.02, Applications/CVL Neuroimaging, CVL afni|CVL Neuroimaging|Applications, singularity, , 
CVl@Qld,Owncloud,, Applications/CVL Miscellaneous, CVL Miscellaneous|Applications, singularity, , /sw7/CVL/containers/owncloud.simg
CVl@Qld,IMOD,, Applications/CVL Microscopy, CVL Microscopy|Applications, singularity, , /sw7/CVL/containers/imod_v4_9_9.simg
CVl@Qld,minc,1.9.17, Applications/CVL Neuroimaging, CVL MINC|CVL Neuroimaging|Applications, singularity, , 
